win,lose,probability
Boston Celtics,Philadelphia 76ers,0.6148157054824984
Golden State Warriors,Oklahoma City Thunder,0.7370973264442682
Milwaukee Bucks,Charlotte Hornets,0.6843598624107177
Detroit Pistons,Brooklyn Nets,0.6244567049537443
Houston Rockets,New Orleans Pelicans,0.6677416226100398
Indiana Pacers,Memphis Grizzlies,0.9041754749208043
Denver Nuggets,Los Angeles Clippers,0.5597453325002161
New York Knicks,Atlanta Hawks,0.611563595806167
Miami Heat,Orlando Magic,0.8006378872523473
Dallas Mavericks,Phoenix Suns,0.606928294663893
Utah Jazz,Sacramento Kings,0.8259745653710756
Minnesota Timberwolves,San Antonio Spurs,0.5041457116334243
Toronto Raptors,Cleveland Cavaliers,0.6123637902800957
Philadelphia 76ers,Chicago Bulls,0.9036531747425529
Portland Trail Blazers,Los Angeles Lakers,0.7144298521712854
Washington Wizards,Miami Heat,0.5801181977465112
Brooklyn Nets,New York Knicks,0.5111495020041826
Oklahoma City Thunder,Los Angeles Clippers,0.5398676797396725
Atlanta Hawks,Memphis Grizzlies,0.5198561661347483
Indiana Pacers,Milwaukee Bucks,0.5699466120407409
Cleveland Cavaliers,Minnesota Timberwolves,0.5490200563634613
New Orleans Pelicans,Sacramento Kings,0.8568041316792381
Charlotte Hornets,Orlando Magic,0.7481666695311531
Toronto Raptors,Boston Celtics,0.5115031668474296
Golden State Warriors,Utah Jazz,0.7058503816631412
Detroit Pistons,Chicago Bulls,0.7354053927884303
Minnesota Timberwolves,Dallas Mavericks,0.8426040028270811
Denver Nuggets,Phoenix Suns,0.913143469861483
Indiana Pacers,Brooklyn Nets,0.7729780636171107
Houston Rockets,Los Angeles Lakers,0.9004769393766876
Miami Heat,Charlotte Hornets,0.6148472259381254
Boston Celtics,New York Knicks,0.8340340528245263
Philadelphia 76ers,Orlando Magic,0.8906965765691967
San Antonio Spurs,Portland Trail Blazers,0.5191151566891983
Toronto Raptors,Washington Wizards,0.6564976223951213
Cleveland Cavaliers,Atlanta Hawks,0.8735470964141376
Golden State Warriors,Denver Nuggets,0.6791167455302982
Houston Rockets,Los Angeles Clippers,0.8423846053269127
Oklahoma City Thunder,Sacramento Kings,0.8560433796621438
Boston Celtics,Orlando Magic,0.8719570037149058
Chicago Bulls,Dallas Mavericks,0.5589230272853765
Golden State Warriors,Phoenix Suns,0.9657938575038039
San Antonio Spurs,Los Angeles Lakers,0.6870295752557398
Milwaukee Bucks,New York Knicks,0.8143569583898562
Indiana Pacers,Minnesota Timberwolves,0.5523125254657142
Portland Trail Blazers,Washington Wizards,0.5844870449090723
Toronto Raptors,Charlotte Hornets,0.7684105125794151
Utah Jazz,Memphis Grizzlies,0.8888198374288043
Denver Nuggets,Sacramento Kings,0.8399019628734136
Philadelphia 76ers,Detroit Pistons,0.658279383198433
New Orleans Pelicans,Los Angeles Clippers,0.6689964038014226
Dallas Mavericks,Atlanta Hawks,0.586995671614269
Charlotte Hornets,Chicago Bulls,0.6856473504044711
Cleveland Cavaliers,Brooklyn Nets,0.8359895657224811
Golden State Warriors,Washington Wizards,0.7939092315033595
Houston Rockets,Utah Jazz,0.6502784130577076
Miami Heat,New York Knicks,0.8134424029467754
Philadelphia 76ers,Milwaukee Bucks,0.5198231881192327
Los Angeles Lakers,Phoenix Suns,0.7119351474055275
Sacramento Kings,Memphis Grizzlies,0.7184625071952129
Indiana Pacers,San Antonio Spurs,0.5912972706063906
Toronto Raptors,Minnesota Timberwolves,0.6892681943276543
Cleveland Cavaliers,Detroit Pistons,0.6994391095516835
Denver Nuggets,Los Angeles Lakers,0.6827816785238036
Boston Celtics,Oklahoma City Thunder,0.6115955397143968
Portland Trail Blazers,Orlando Magic,0.8478963317993764
Charlotte Hornets,Chicago Bulls,0.6195144846433385
Houston Rockets,Los Angeles Clippers,0.8149173643225085
Minnesota Timberwolves,Milwaukee Bucks,0.5798845912544265
New Orleans Pelicans,Brooklyn Nets,0.7886051427656191
Golden State Warriors,New York Knicks,0.85629755225322
Washington Wizards,Sacramento Kings,0.7123348899504406
Toronto Raptors,Dallas Mavericks,0.8841424165324389
Chicago Bulls,Atlanta Hawks,0.5364789983798302
Cleveland Cavaliers,Indiana Pacers,0.5651875678667706
Boston Celtics,Detroit Pistons,0.7783137848201152
Memphis Grizzlies,Phoenix Suns,0.6865678132270835
Portland Trail Blazers,Miami Heat,0.5403133079051654
Milwaukee Bucks,Orlando Magic,0.7976125481303432
Utah Jazz,New Orleans Pelicans,0.5395103622480035
Philadelphia 76ers,Charlotte Hornets,0.7685619340306877
San Antonio Spurs,Los Angeles Lakers,0.6788714700589712
Golden State Warriors,Brooklyn Nets,0.9075360465389187
Utah Jazz,Dallas Mavericks,0.8946313185432093
Los Angeles Clippers,Washington Wizards,0.5393947842899285
Oklahoma City Thunder,Phoenix Suns,0.9225811866601595
Golden State Warriors,Chicago Bulls,0.8912493359264251
New Orleans Pelicans,Denver Nuggets,0.5528378837356347
Portland Trail Blazers,Indiana Pacers,0.503792887906078
Miami Heat,Sacramento Kings,0.8250912805737989
Toronto Raptors,Milwaukee Bucks,0.6896833943547701
Minnesota Timberwolves,Los Angeles Lakers,0.7125707615963031
New York Knicks,Brooklyn Nets,0.537400873809016
Philadelphia 76ers,Atlanta Hawks,0.8923768710898744
San Antonio Spurs,Dallas Mavericks,0.7718827575168402
Boston Celtics,Detroit Pistons,0.6853204433285004
Miami Heat,Charlotte Hornets,0.7010330522034629
Cleveland Cavaliers,Atlanta Hawks,0.8735470964141376
Houston Rockets,Portland Trail Blazers,0.701572453205904
Washington Wizards,Memphis Grizzlies,0.7699042738103532
Oklahoma City Thunder,Los Angeles Clippers,0.6676249470365775
Sacramento Kings,Orlando Magic,0.5013405606519614
Toronto Raptors,Philadelphia 76ers,0.6561652895398619
Detroit Pistons,Brooklyn Nets,0.7689818327106541
Denver Nuggets,Chicago Bulls,0.8007746809934208
Golden State Warriors,New Orleans Pelicans,0.6847669281906057
Los Angeles Lakers,Dallas Mavericks,0.6632048338815776
Utah Jazz,Minnesota Timberwolves,0.578955021867483
Indiana Pacers,New York Knicks,0.7714575564149094
San Antonio Spurs,Phoenix Suns,0.8696985685917831
Sacramento Kings,Atlanta Hawks,0.5252190875349112
Boston Celtics,Milwaukee Bucks,0.6894651390203053
Oklahoma City Thunder,Charlotte Hornets,0.746828973802045
Cleveland Cavaliers,Denver Nuggets,0.600213028245607
Philadelphia 76ers,Los Angeles Clippers,0.7682326210535941
New Orleans Pelicans,Portland Trail Blazers,0.5576586985176294
Houston Rockets,Brooklyn Nets,0.9529091741903852
Indiana Pacers,Chicago Bulls,0.8227736010326611
New York Knicks,Dallas Mavericks,0.5671600126217762
