win,lose,probability
Cleveland Cavaliers,New York Knicks,0.8502372376791081
Golden State Warriors,San Antonio Spurs,0.5359137294185915
Portland Trail Blazers,Utah Jazz,0.6109264128937755
Boston Celtics,Brooklyn Nets,0.9065398006206928
Indiana Pacers,Dallas Mavericks,0.5945812431030534
Houston Rockets,Los Angeles Lakers,0.8262982888954397
Memphis Grizzlies,Minnesota Timberwolves,0.7039369188162271
Charlotte Hornets,Milwaukee Bucks,0.724098992625223
New Orleans Pelicans,Denver Nuggets,0.5463515408309486
Miami Heat,Orlando Magic,0.7002160291139385
Oklahoma City Thunder,Philadelphia 76ers,0.9527364034411245
Sacramento Kings,Phoenix Suns,0.6125430443886344
Toronto Raptors,Detroit Pistons,0.6845524907374807
Atlanta Hawks,Washington Wizards,0.6607499655890379
Boston Celtics,Chicago Bulls,0.6582795062326852
Los Angeles Clippers,Portland Trail Blazers,0.5714732247089951
San Antonio Spurs,Sacramento Kings,0.8872411815418453
Indiana Pacers,Brooklyn Nets,0.811067247731688
Dallas Mavericks,Houston Rockets,0.5335652897360604
Detroit Pistons,Orlando Magic,0.6728249333476092
Charlotte Hornets,Miami Heat,0.5161412056249688
Golden State Warriors,New Orleans Pelicans,0.9181183263460253
Oklahoma City Thunder,Phoenix Suns,0.9302151855949466
Cleveland Cavaliers,Toronto Raptors,0.5846197690443489
Utah Jazz,Los Angeles Lakers,0.8923554330751555
Indiana Pacers,Chicago Bulls,0.5817394776794746
Charlotte Hornets,Boston Celtics,0.5083033883579313
Cleveland Cavaliers,Orlando Magic,0.8238704228005973
Portland Trail Blazers,Denver Nuggets,0.6153009020375926
Milwaukee Bucks,Brooklyn Nets,0.756406765570907
Memphis Grizzlies,New York Knicks,0.5913970128561651
Atlanta Hawks,Philadelphia 76ers,0.9175237651588818
Sacramento Kings,Minnesota Timberwolves,0.6473492091051961
San Antonio Spurs,New Orleans Pelicans,0.9198511960839124
Detroit Pistons,Milwaukee Bucks,0.7509551954977826
Houston Rockets,Dallas Mavericks,0.5510333782177967
Los Angeles Clippers,Utah Jazz,0.6736766359586955
Washington Wizards,Memphis Grizzlies,0.5130584013227752
San Antonio Spurs,Miami Heat,0.7956663774730148
Oklahoma City Thunder,Los Angeles Lakers,0.9587762689945757
Golden State Warriors,Phoenix Suns,0.9478022752758375
Atlanta Hawks,Sacramento Kings,0.7703351549128792
Chicago Bulls,Brooklyn Nets,0.8110976280221944
Los Angeles Clippers,Phoenix Suns,0.9041318882327587
Toronto Raptors,Denver Nuggets,0.8340246864700966
Cleveland Cavaliers,Houston Rockets,0.771831917110624
Detroit Pistons,New York Knicks,0.7139526767652817
Indiana Pacers,Los Angeles Lakers,0.9147503684272824
Miami Heat,Sacramento Kings,0.7183015258110965
Memphis Grizzlies,Minnesota Timberwolves,0.5760956185056905
New Orleans Pelicans,Milwaukee Bucks,0.5657914986846805
Orlando Magic,Philadelphia 76ers,0.8151787414326099
Golden State Warriors,Portland Trail Blazers,0.7950874616398783
San Antonio Spurs,Utah Jazz,0.8179890943529838
Atlanta Hawks,Los Angeles Lakers,0.9341325247480382
Boston Celtics,Chicago Bulls,0.5902565690340663
Detroit Pistons,Brooklyn Nets,0.7900394707456642
Charlotte Hornets,Philadelphia 76ers,0.9642724589548345
Oklahoma City Thunder,Los Angeles Clippers,0.575118716619023
Memphis Grizzlies,New Orleans Pelicans,0.6888717604226225
Houston Rockets,New York Knicks,0.6231085074805225
Portland Trail Blazers,Phoenix Suns,0.773026210101978
Utah Jazz,Dallas Mavericks,0.5311842764348494
Toronto Raptors,Washington Wizards,0.7097441062829233
Cleveland Cavaliers,Boston Celtics,0.6340405310659768
Golden State Warriors,Oklahoma City Thunder,0.6851921933471299
Indiana Pacers,Milwaukee Bucks,0.6843413332499724
Minnesota Timberwolves,Denver Nuggets,0.5469329755292573
Orlando Magic,Sacramento Kings,0.5754631945235844
Charlotte Hornets,Brooklyn Nets,0.8386273890860549
Chicago Bulls,New York Knicks,0.6297713832522954
Portland Trail Blazers,Dallas Mavericks,0.5416103928224101
Golden State Warriors,Los Angeles Lakers,0.9716546022060597
Los Angeles Clippers,Memphis Grizzlies,0.7071882595548451
New Orleans Pelicans,Phoenix Suns,0.7128295170508803
Toronto Raptors,Miami Heat,0.5744479003543499
San Antonio Spurs,Utah Jazz,0.835100685705733
Atlanta Hawks,Washington Wizards,0.5987623336268031
Atlanta Hawks,Houston Rockets,0.677876802523795
Detroit Pistons,Denver Nuggets,0.7359361461293251
Indiana Pacers,Chicago Bulls,0.5303504950833885
Milwaukee Bucks,Sacramento Kings,0.5089374128244968
Oklahoma City Thunder,Minnesota Timberwolves,0.8889114420374942
Washington Wizards,Orlando Magic,0.5595633107556529
Cleveland Cavaliers,Philadelphia 76ers,0.9583633763702197
San Antonio Spurs,Los Angeles Clippers,0.6821586659051165
Boston Celtics,Denver Nuggets,0.7919420826807864
Dallas Mavericks,Milwaukee Bucks,0.6987380689193089
Phoenix Suns,Los Angeles Lakers,0.551892075692567
Portland Trail Blazers,Memphis Grizzlies,0.5686003526763022
Utah Jazz,New York Knicks,0.6616388063467374
Toronto Raptors,Sacramento Kings,0.8103867869075578
Chicago Bulls,Orlando Magic,0.5835992809875705
Charlotte Hornets,Indiana Pacers,0.5887825739835565
Golden State Warriors,New Orleans Pelicans,0.9395116666527643
Los Angeles Clippers,Detroit Pistons,0.663989680221865
Oklahoma City Thunder,Miami Heat,0.634685600301015
Utah Jazz,Philadelphia 76ers,0.8782508831624259
Washington Wizards,Houston Rockets,0.5500147271028246
Minnesota Timberwolves,Brooklyn Nets,0.567734980133739
Cleveland Cavaliers,Atlanta Hawks,0.6496823481682257
Dallas Mavericks,Los Angeles Lakers,0.8377803676829962
Memphis Grizzlies,Denver Nuggets,0.6577356282750707
Portland Trail Blazers,Phoenix Suns,0.8776485329130209
Sacramento Kings,New Orleans Pelicans,0.6309143371559043
Atlanta Hawks,Chicago Bulls,0.5987975864235012
Charlotte Hornets,Utah Jazz,0.6305246081961196
Golden State Warriors,Dallas Mavericks,0.8688716932068432
Indiana Pacers,Philadelphia 76ers,0.9551380910298162
Los Angeles Clippers,Portland Trail Blazers,0.6436893161075395
New York Knicks,Brooklyn Nets,0.7428311437447701
Oklahoma City Thunder,Toronto Raptors,0.5358956020543792
