Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Utah Jazz*,82,240.9,37.3,83.0,.449,9.5,26.0,.365,27.8,57.0,.488,15.8,20.5,.771,8.7,33.0,41.6,20.0,8.3,4.6,14.9,20.5,99.8
2,San Antonio Spurs*,82,240.6,38.2,84.3,.453,9.1,26.3,.348,29.0,58.0,.501,14.3,18.9,.759,9.2,33.3,42.5,21.8,7.6,3.9,14.1,19.7,99.8
3,Boston Celtics*,82,241.5,37.4,85.0,.440,9.4,27.7,.339,28.0,57.4,.488,16.3,21.3,.763,9.6,34.2,43.8,21.3,7.2,4.4,14.1,19.2,100.4
4,Miami Heat*,82,243.0,37.7,83.8,.450,9.6,26.6,.360,28.1,57.2,.491,18.0,23.0,.783,9.1,34.0,43.1,21.0,7.5,4.6,14.1,19.4,102.9
5,Portland Trail Blazers*,82,240.9,38.4,85.9,.447,9.7,26.6,.364,28.7,59.3,.484,16.6,22.0,.755,9.3,33.6,42.9,20.2,7.3,5.1,12.6,19.1,103.0
6,Houston Rockets*,82,240.9,39.6,85.6,.462,10.1,28.8,.351,29.5,56.7,.519,14.6,19.6,.746,8.7,33.4,42.0,22.4,7.4,4.4,14.6,20.4,103.9
7,Toronto Raptors*,82,241.8,38.4,85.6,.449,8.9,25.0,.357,29.5,60.6,.486,18.2,23.7,.767,9.8,32.6,42.4,21.8,7.2,4.9,14.3,19.9,103.9
8,Detroit Pistons,82,241.5,39.1,85.2,.459,11.1,30.8,.359,28.0,54.4,.515,14.6,18.9,.776,9.2,34.5,43.8,25.2,7.3,4.9,14.8,18.4,103.9
9,Indiana Pacers*,82,240.9,39.4,84.8,.465,10.6,30.4,.349,28.8,54.4,.530,14.8,19.5,.757,10.2,32.8,43.0,23.2,7.0,5.2,15.5,18.5,104.2
10,Oklahoma City Thunder*,82,241.8,38.5,84.0,.458,11.2,30.6,.367,27.3,53.4,.511,16.2,21.1,.769,9.5,32.6,42.2,23.3,7.7,4.6,16.0,21.3,104.4
