WTeam,LTeam,WLoc
Cleveland Cavaliers,Boston Celtics,H
Houston Rockets,Golden State Warriors,V
Milwaukee Bucks,Boston Celtics,V
Atlanta Hawks,Dallas Mavericks,V
Detroit Pistons,Charlotte Hornets,H
Indiana Pacers,Brooklyn Nets,H
Memphis Grizzlies,New Orleans Pelicans,H
Orlando Magic,Miami Heat,H
Portland Trail Blazers,Phoenix Suns,V
Houston Rockets,Sacramento Kings,V
San Antonio Spurs,Minnesota Timberwolves,H
Utah Jazz,Denver Nuggets,H
Washington Wizards,Philadelphia 76ers,H
Los Angeles Clippers,Los Angeles Lakers,V
Oklahoma City Thunder,New York Knicks,H
Toronto Raptors,Chicago Bulls,H
Brooklyn Nets,Orlando Magic,H
Charlotte Hornets,Atlanta Hawks,H
Sacramento Kings,Dallas Mavericks,V
Portland Trail Blazers,Indiana Pacers,V
Cleveland Cavaliers,Milwaukee Bucks,V
Minnesota Timberwolves,Utah Jazz,H
Golden State Warriors,New Orleans Pelicans,V
Boston Celtics,Philadelphia 76ers,V
Los Angeles Lakers,Phoenix Suns,V
Washington Wizards,Detroit Pistons,H
San Antonio Spurs,Chicago Bulls,V
Orlando Magic,Cleveland Cavaliers,V
Denver Nuggets,Sacramento Kings,H
Houston Rockets,Dallas Mavericks,H
Los Angeles Clippers,Phoenix Suns,H
Memphis Grizzlies,Golden State Warriors,H
Miami Heat,Indiana Pacers,H
Milwaukee Bucks,Portland Trail Blazers,H
Detroit Pistons,New York Knicks,V
Toronto Raptors,Philadelphia 76ers,H
Utah Jazz,Oklahoma City Thunder,H
Brooklyn Nets,Atlanta Hawks,H
New Orleans Pelicans,Los Angeles Lakers,V
Minnesota Timberwolves,Oklahoma City Thunder,V
Golden State Warriors,Dallas Mavericks,V
Washington Wizards,Denver Nuggets,V
Philadelphia 76ers,Detroit Pistons,V
Memphis Grizzlies,Houston Rockets,V
Miami Heat,Atlanta Hawks,H
Milwaukee Bucks,Charlotte Hornets,H
Phoenix Suns,Sacramento Kings,H
San Antonio Spurs,Toronto Raptors,H
Boston Celtics,New York Knicks,H
Cleveland Cavaliers,Chicago Bulls,H
Los Angeles Clippers,Utah Jazz,H
Indiana Pacers,Minnesota Timberwolves,V
Orlando Magic,Brooklyn Nets,H
Portland Trail Blazers,New Orleans Pelicans,H
Brooklyn Nets,Cleveland Cavaliers,H
Charlotte Hornets,Denver Nuggets,H
Dallas Mavericks,Memphis Grizzlies,H
Detroit Pistons,Minnesota Timberwolves,H
Golden State Warriors,Toronto Raptors,H
Los Angeles Lakers,Washington Wizards,H
San Antonio Spurs,Miami Heat,V
Oklahoma City Thunder,Indiana Pacers,H
Houston Rockets,Philadelphia 76ers,V
Phoenix Suns,Utah Jazz,H
Chicago Bulls,Atlanta Hawks,H
Memphis Grizzlies,Dallas Mavericks,H
Boston Celtics,Milwaukee Bucks,V
Los Angeles Clippers,Portland Trail Blazers,V
New Orleans Pelicans,Sacramento Kings,V
Denver Nuggets,Atlanta Hawks,V
Houston Rockets,Charlotte Hornets,V
Golden State Warriors,Washington Wizards,H
Toronto Raptors,Los Angeles Lakers,V
Minnesota Timberwolves,Oklahoma City Thunder,H
New York Knicks,Brooklyn Nets,H
Orlando Magic,San Antonio Spurs,H
Oklahoma City Thunder,Chicago Bulls,V
Philadelphia 76ers,Dallas Mavericks,V
Detroit Pistons,Los Angeles Clippers,V
Memphis Grizzlies,Houston Rockets,H
Boston Celtics,Miami Heat,V
New Orleans Pelicans,Cleveland Cavaliers,H
Portland Trail Blazers,Phoenix Suns,H
Utah Jazz,Los Angeles Lakers,H
Milwaukee Bucks,Atlanta Hawks,V
Denver Nuggets,Brooklyn Nets,V
Charlotte Hornets,Orlando Magic,H
New York Knicks,Cleveland Cavaliers,V
Detroit Pistons,Golden State Warriors,V
Indiana Pacers,San Antonio Spurs,H
Washington Wizards,Sacramento Kings,V
Boston Celtics,San Antonio Spurs,H
Philadelphia 76ers,Houston Rockets,V
Golden State Warriors,Los Angeles Clippers,V
Charlotte Hornets,Memphis Grizzlies,V
Minnesota Timberwolves,Miami Heat,V
Orlando Magic,New Orleans Pelicans,V
New York Knicks,Denver Nuggets,H
Toronto Raptors,Portland Trail Blazers,V
Utah Jazz,Dallas Mavericks,H
Phoenix Suns,Brooklyn Nets,V
Indiana Pacers,Sacramento Kings,H
Los Angeles Lakers,Detroit Pistons,H
Oklahoma City Thunder,Milwaukee Bucks,V
Boston Celtics,Sacramento Kings,H
Charlotte Hornets,Milwaukee Bucks,H
Indiana Pacers,Cleveland Cavaliers,V
Denver Nuggets,Toronto Raptors,H
Los Angeles Clippers,Dallas Mavericks,H
Orlando Magic,Memphis Grizzlies,V
Miami Heat,Chicago Bulls,H
Minnesota Timberwolves,New Orleans Pelicans,V
Houston Rockets,New York Knicks,V
Philadelphia 76ers,Atlanta Hawks,H
Utah Jazz,Portland Trail Blazers,H
Phoenix Suns,Washington Wizards,V
Portland Trail Blazers,Los Angeles Lakers,H
Golden State Warriors,San Antonio Spurs,V
Houston Rockets,Atlanta Hawks,V
New Orleans Pelicans,Dallas Mavericks,V
Denver Nuggets,Miami Heat,H
Detroit Pistons,Milwaukee Bucks,H
Los Angeles Lakers,Brooklyn Nets,H
New York Knicks,Phoenix Suns,H
Boston Celtics,Oklahoma City Thunder,V
Chicago Bulls,Orlando Magic,V
Philadelphia 76ers,Indiana Pacers,H
San Antonio Spurs,Charlotte Hornets,H
Toronto Raptors,Utah Jazz,V
Cleveland Cavaliers,Washington Wizards,V
New Orleans Pelicans,Chicago Bulls,V
Golden State Warriors,Denver Nuggets,V
Detroit Pistons,Sacramento Kings,H
Memphis Grizzlies,Los Angeles Clippers,V
Minnesota Timberwolves,Dallas Mavericks,H
Atlanta Hawks,Cleveland Cavaliers,V
Houston Rockets,Utah Jazz,H
Miami Heat,Los Angeles Clippers,V
Los Angeles Lakers,Memphis Grizzlies,H
Minnesota Timberwolves,Charlotte Hornets,H
New York Knicks,Indiana Pacers,H
Boston Celtics,Orlando Magic,V
Portland Trail Blazers,Oklahoma City Thunder,H
San Antonio Spurs,Phoenix Suns,H
Washington Wizards,Toronto Raptors,V
Boston Celtics,Atlanta Hawks,V
Golden State Warriors,Miami Heat,H
Brooklyn Nets,Phoenix Suns,V
Cleveland Cavaliers,Milwaukee Bucks,H
Denver Nuggets,Brooklyn Nets,H
New Orleans Pelicans,Indiana Pacers,V
New York Knicks,Charlotte Hornets,H
Memphis Grizzlies,Portland Trail Blazers,V
Sacramento Kings,Oklahoma City Thunder,H
San Antonio Spurs,Los Angeles Clippers,H
Toronto Raptors,Chicago Bulls,H
Philadelphia 76ers,Utah Jazz,V
Dallas Mavericks,Washington Wizards,V
Boston Celtics,Los Angeles Lakers,H
Detroit Pistons,Indiana Pacers,H
Golden State Warriors,Minnesota Timberwolves,H
Orlando Magic,New York Knicks,H
Miami Heat,Phoenix Suns,V
Denver Nuggets,Oklahoma City Thunder,H
Houston Rockets,Cleveland Cavaliers,H
Sacramento Kings,Philadelphia 76ers,H
Toronto Raptors,New Orleans Pelicans,H
Washington Wizards,Los Angeles Lakers,H
Boston Celtics,Charlotte Hornets,H
Indiana Pacers,Chicago Bulls,V
Detroit Pistons,Atlanta Hawks,H
Oklahoma City Thunder,Los Angeles Clippers,H
Orlando Magic,Phoenix Suns,V
Brooklyn Nets,Portland Trail Blazers,V
Milwaukee Bucks,San Antonio Spurs,V
Miami Heat,Utah Jazz,V
Cleveland Cavaliers,Dallas Mavericks,V
Denver Nuggets,Orlando Magic,H
Golden State Warriors,Philadelphia 76ers,H
Houston Rockets,Memphis Grizzlies,H
Milwaukee Bucks,Los Angeles Lakers,H
New Orleans Pelicans,Los Angeles Clippers,H
New York Knicks,Sacramento Kings,H
Phoenix Suns,Minnesota Timberwolves,H
San Antonio Spurs,Chicago Bulls,H
Utah Jazz,Brooklyn Nets,H
Washington Wizards,Atlanta Hawks,H
Boston Celtics,Toronto Raptors,H
Detroit Pistons,Miami Heat,H
Houston Rockets,Indiana Pacers,V
Oklahoma City Thunder,Dallas Mavericks,H
Golden State Warriors,Orlando Magic,H
Philadelphia 76ers,Los Angeles Clippers,V
Milwaukee Bucks,Memphis Grizzlies,H
New Orleans Pelicans,Atlanta Hawks,H
Cleveland Cavaliers,New York Knicks,V
Los Angeles Lakers,Phoenix Suns,V
Portland Trail Blazers,Denver Nuggets,H
Minnesota Timberwolves,Utah Jazz,V
Washington Wizards,Sacramento Kings,H
Boston Celtics,Brooklyn Nets,V
San Antonio Spurs,Dallas Mavericks,V
Toronto Raptors,Houston Rockets,V
Atlanta Hawks,Sacramento Kings,H
Cleveland Cavaliers,Charlotte Hornets,V
Philadelphia 76ers,Los Angeles Lakers,V
Indiana Pacers,Memphis Grizzlies,V
Washington Wizards,Miami Heat,V
Milwaukee Bucks,Detroit Pistons,H
Minnesota Timberwolves,San Antonio Spurs,H
Toronto Raptors,New Orleans Pelicans,V
New York Knicks,Utah Jazz,H
Oklahoma City Thunder,Chicago Bulls,H
Portland Trail Blazers,Orlando Magic,H
Boston Celtics,Golden State Warriors,H
Houston Rockets,Phoenix Suns,V
Brooklyn Nets,Utah Jazz,H
Chicago Bulls,Charlotte Hornets,H
Cleveland Cavaliers,Los Angeles Clippers,H
Minnesota Timberwolves,Dallas Mavericks,V
Denver Nuggets,New Orleans Pelicans,H
Indiana Pacers,Detroit Pistons,H
Phoenix Suns,Los Angeles Lakers,V
Sacramento Kings,Portland Trail Blazers,H
San Antonio Spurs,Oklahoma City Thunder,H
Toronto Raptors,New York Knicks,H
Miami Heat,Washington Wizards,V
Boston Celtics,Atlanta Hawks,V
Charlotte Hornets,Los Angeles Clippers,H
Dallas Mavericks,Milwaukee Bucks,H
Houston Rockets,Memphis Grizzlies,V
Utah Jazz,Orlando Magic,V
Golden State Warriors,Philadelphia 76ers,V
Portland Trail Blazers,Sacramento Kings,H
Golden State Warriors,Brooklyn Nets,V
Los Angeles Lakers,Denver Nuggets,H
Indiana Pacers,Miami Heat,V
Detroit Pistons,Minnesota Timberwolves,V
Phoenix Suns,Chicago Bulls,H
Toronto Raptors,Washington Wizards,H
Charlotte Hornets,Minnesota Timberwolves,H
Boston Celtics,Dallas Mavericks,V
Cleveland Cavaliers,Detroit Pistons,V
Portland Trail Blazers,Memphis Grizzlies,V
Washington Wizards,Milwaukee Bucks,V
New Orleans Pelicans,Oklahoma City Thunder,H
New York Knicks,Los Angeles Clippers,H
Indiana Pacers,Orlando Magic,V
Philadelphia 76ers,Utah Jazz,H
Denver Nuggets,Sacramento Kings,V
San Antonio Spurs,Atlanta Hawks,H
Los Angeles Lakers,Chicago Bulls,H
Los Angeles Clippers,Atlanta Hawks,V
